value,swag_score
boo bear 4,3
bozito cave off,4
brahmi,5
brahmi sprig,2
brown kigu,5
buckfast bottle,3
buddhist techno,4
bufotenine,1
bullas plush,3
bullas whip,3
butterfly beanie,4
buy bitcoin,3
caffeine,2
camo,3
capitalist realism,2
capsule,3
cassette,2
cassette recorder,5
catboy ears,3
cbd,5
ccru,4
cfang face,1
charlie dragon,5
chewing tobacco,1
chicago bears long,4
chicago bulls,2
chillum,2
chinese,3
chrome hearts watch,4
chrome kitty,3
chrome nails,5
chulym,4
chulym 2,4
chulym beekeeper hat,3
cigar,1
cincinnati reds,3
clandestine labs,3
clean bandage,1
clear pill,2
clear pill capsule,3
club mate,3
coca,3
coca leaves,2
cocaine,3
cocaine baggie,5
cody wilson ar-15,5
coffee,5
coffee beans,3
colorful,4
colorful bong,2
come and take it,2
comfy henlo,3
controlled substances,5
cool,3
cotton candy bong,1
cowboy,4
cozy sonic,3
cpap,4
crack pipe,1
crafty,2
crescent,4
criminal records vest,3
cross,3
crowley,4
crypto anarchist,1
cubensis,2
cute bera,3
cute kigu,4
cyber punk 1,1
cyber punk 2,2
cypherpunk,4
cypherpunk 1,4
cypherpunk 2,1
cypherpunk 3,3
d2 edamame,5
dare memecoins,3
dare rave,3
dark blue flowery,5
dark green suit,2
dark side,4
dark suit,5
darkfi,3
datura,4
datura sprig,4
david chaum,5
day glowstick,1
dcf,5
den hopium,2
devon head,4
dextroamphetamine,5
diamond paws,5
differently,3
diy,1
dmt,2
dog bone,3
dopamine,3
dots,3
drank lean purp sizzurp,4
dread pirates bandana,4
drugs not hugs,2
drum,4
duct tape,1
egg brain,3
egg on head,2
egyptian,3
ephedra,4
ephedra sprig,3
erowid,3
estrogen,3
eth waterloo,3
ethanol,4
ethiopian,5
ethiopian flat,2
ethiopian headdress,3
ethylene,2
euphoria,2
euphoria sun,5
experimental,3
fable,5
face hat with feathers,4
faceless galaxy,5
fan,3
fanged noumena,2
fbi hat,5
fez,2
fidget,2
fishing rod,5
flower hat,2
fluoro blue,3
fluoro green,3
fluoro pink,3
fluoro white,2
fly agaric,4
flying saucer,3
forehead kiss,2
founders mask,5
free palestine,2
free ross,4
fruits remilia hat,2
fruits remilia hoodie,3
ftx risk management,1
fuck work,3
future is accessible,1
future ladyboy,2
future rug core,2
gadsden flag,3
galactic gecko tarot,4
gay guns marijuana,3
gay liberation front,2
glass of whiskey,2
glove,4
gola,3
gold apollo ar942,4
gold chain,5
gold hoop,4
golden anonymous,4
golden cuff,2
golden flower,2
golden hoop,3
golden teacher,2
got autism,3
grateful dead 1,2
grateful dead 2,4
grateful dead forest green,2
grateful dead magenta,4
grateful dead tarot,4
grateful dead tarot book,2
grateful dead yellow,4
grayanotoxin,1
green baggy jacket,3
green dungarees,2
green glow,5
green glowstick,3
green gummy bear,3
green lolipop,1
green mask,4
green turban,3
gumball,3
gumiberas,2
hal finney,5
hamas,5
hand,3
handheld sickle,3
harajuku,2
hat with feathers,4
have a nice jay,3
head tube,3
headstrong,3
hearts,2
heavens gate,3
henbane,2
henbane sprig,3
henlo cash,5
henlo jersey,3
henlo mask,5
henlo racing jacket,5
henlo with chain,4
hiberanation eye mask,3
hindu swastika,4
homemade bee mask,3
honey baddie,5
honey comb,3
honey jar,1
honey road,4
honey stick,3
horsey,1
hotdog,4
how to stay in hell,1
htrk night faces,3
hugs not drugs,2
i eat ass,3
i have mibera,3
i met god,3
i was mibera,2
ibiza,3
iboga,4
ibogaine,2
icebeargy,5
imgnai catgirl,2
indian,4
indian paint,4
industrial,4
iproniazid,3
ivx,3
jake,3
jani jacket,4
jewelry,4
john gilmore,5
joint,1
joker,5
julian assange,5
jury nullification,2
k-holed,2
kava,1
keith haring shirt,3
ketamine,3
ketamine kneecap up the ra balaclava,4
keyboard guitar,5
khat,3
khat pipe,3
kim jong mask,4
kingdomly,3
kittykaki plushie,4
kodiak disposable camera,3
kraftwerk,3
kratom,5
kratom dose,3
kwao krua,2
kwao krua dose,2
kykeon,2
la rave flyers,3
lamotrigine,1
landback,3
lawsuit,1
leaf erickson,5
leaves of pythia,4
lee scratch 2,2
lee scratch mic,4
legalize catboys,2
lemon slice,2
liberty caps,2
light blue flowery,4
lighter,1
lightning bolt,3
lithium,5
los bullas,4
lsd,1
lsd made me a prostitute,4
lsd my problem child,4
luca pudgy plushie,3
m-cat,1
mad hani buttplug,5
mad honey,3
mad scientists,3
magenta glow,1
magenta suit,3
maid,5
maid fumo,3
maid head,2
make milady fun again,2
male tears mug,2
mandrake,5
mandrake plant,3
maracas,2
marijuana leaf,3
marsha's flowers,4
mascot jani,2
mascot jani bera,3
mbga,1
mcdonalds 1,3
mcdonalds 2,3
mcdonalds 3,4
mda,2
mdma,3
mdma handbook,4
men illegal,3
meta earrings,3
methamphetamine,2
mexicana,2
mf doom,4
mibera,5
mibera mate,2
mibera pacifier,2
mibera psyops manual,3
mibera smiley,3
mibera spiral hockey,2
mibera sweat,1
microdose,3
midsommar,3
mighty hulk toy,2
mimosa tenuiflora,4
mimosa tenuiflora bark,1
mmda,4
modern irish,2
modern sami,2
mog hand,4
mononoke,4
monster ultra,1
mother shirt,2
motor detroit,1
mottega blue,1
mottega yellow,3
mr acid house,2
mt gox,2
mucana pruriens,5
mucana pruriens plant,2
multiple,5
multiple silver rings,4
munitions,5
mushrooms,5
music box vest,2
nazi pedo cult,4
new york rave flyers,3
nick szabo,5
nicotine,1
nirvana,2
no cap,2
no world as fucked as mine,3
none,1
normal bong,3
nos,1
nose ring with chain,3
not gay,1
nutmeg,4
nutmeg plant,2
nyan cat,4
nymphaea caerulea,2
nymphaea caerulea plant,4
obb dripping honey,5
obb lid,2
ohabera jani,4
oil,2
old school,3
ololiuqui,5
ololiuqui baggie,1
omega,5
onigiri,2
ooga booga bera,3
ooga booga credit,4
orange,3
orange buddhist,3
orange slice,3
orthodox fur large,4
orthodox fur small,3
orthodox robe,5
otyken honey,4
overalls,2
owsley stanley foundation,3
palestinian jacket,4
palestinians for black power,2
panda kigu,5
paperclip 1,5
paperclip 2,3
party hat blue,5
party hat red,4
peace heart,1
pearl,2
penis envy,2
pepperoni pizza,5
peyote,4
peyote dose,2
peyote feather,4
peyote feather fan,3
peyote hat,4
peyote patterned,3
peyote rattle,3
phil zimmermann,5
phone,1
picked iboga,2
pihkal,4
pina colada,2
pink baddie,3
pink bera ski,4
pink panels,1
pink vest,1
piper methysticum,3
piracetam,3
pitchfork,1
pituri,3
pituri plant,2
plain air,1
plain earth,1
plain fire,1
plain water,1
plastic bag mask,4
plastic bag red,4
plum onigiri,2
polar kigu,5
poppers,4
porridge,2
prescription,4
pride,2
ps1 controller,4
psilacetin,4
psychotria viridis,3
psychotria viridis plant,1
puffpaw mibera,3
puffpaw smokey,3
puffpaw thj,3
purple blossom,2
purple glow,2
purple glowstick,1
purple lolipop,3
pyramid,3
pythenians oracle,3
pythia robe,4
radbro plushie,4
radio,2
raf,3
raiders,4
rainbow,3
rainbow ring,3
rainbow spiky ball,5
ramen finance bowl,3
rape,3
rape sourcebook,3
rar,2
rasta,3
rayban,1
reborn,2
red black feather,4
red dungarees,3
red forehead,3
red glow,2
red gummy bear,3
red lolipop,2
red sunglasses,2
reflections,3
regal crown,5
reimu syndicate,2
remcon,3
remilia case,2
remilia cig pack,3
remilia embroidered,3
remilia gun,5
remilia quarterly,3
remilia sprite vn,2
remiliaco,3
resilient,3
rice paddy,4
rolling tobacco tin,2
round,2
rug core,3
ruggy,3
russian,3
sacred mirrors,3
sadhu,2
sailor,3
sakae naa,5
sakae naa plant,4
sami hat,3
sami pouch,5
sari,3
sassafras,3
sassafras plant,3
satan,4
satoshi nakamoto,5
scatter cat,1
school sucks,2
scifi,5
scopolamine,4
scum,3
scum manifesto,3
seoul olympics,3
septum,1
serotonin,3
sertraline,2
sex health and long life,1
shameless misandrist,3
sheet of acid,4
sherlock glass pipe,3
shin ramyun,1
shiny cult,3
shogun baddie,2
shoulder orange,2
shroom tea,1
sick sunglasses,4
sildenafil,1
silver mask,1
silver mongolian,3
simple black,1
simple blue,1
simple brown,1
simple green,1
simple yellow,1
simple purple,1
simple red,1
simple white,1
singapore jani 1,5
singapore jani 2,5
skirt of pythia,3
small bandage,1
smilee,3
smokey durag,5
smokey the bera shirt,5
smol ring,2
smol strawberry,3
snow goggles 1,5
snow goggles 2,4
sober,2
sober water,2
sonora,2
special brew,2
special k,3
spiky lee scratch,5
spiky pink,3
spiral 1,3
spiral 2,3
spiral 3,3
spiral bera balloon,4
spiral fossil,4
spiral tee,3
spiral tribe,3
spiral tribe book,3
spodumene,4
sprodcast,3
spy,4
squad,3
st john's wort,4
st. john’s wort,4
star,3
star face,3
star goggles,2
star moon kaftan,4
star trio,4
stars,5
steady,3
straw farmers,3
strawberry,2
stylish lee scratch,3
stylized fashion,3
subaeruginosa,2
sudan sufi,3
sudo chan,1
sudoswap owen plushie,2
sufi,4
sugarcane,2
sugarcane portion,4
sun kigu,5
sunnies,3
sunra,5
surgical mask,1
suzuha,1
swimming goggles,4
swisher sweets,1
syrian rue,4
syrian rue plant,3
syringe,1
tabernaemontana,3
tabernaemontana plant,4
tactical,3
tassles,2
tea,4
tea leaves,3
teal bong,4
tear drop,2
teardrops,3
techgnosis,3
techno table,4
teddy ski mask,3
tedism,3
tekno 1,3
tekno 2,1
testosterone,3
tez watermelon,4
thc bear,3
thc edibles,4
thc ipod,4
thc mic,4
the liberator,5
the pencil,1
the rose of paracelsus,2
thj bees,4
thj dark gray,5
thj globe,3
tibetan singing bowl,3
tie dye,2
tight leather jacket,3
tight turban,2
tihkal,4
tim c may,5
tobacco,3
tomato,2
tonka,4
toothy,4
top signal,1
tornado cash,4
tracksuit 1,3
trans flag,2
tribal bera,5
trippy,5
triskelion,4
triskelion ring,3
trucker mibera,3
true love found,2
tweed peak cap,3
tyson,3
ufo,3
uk rave flyers,4
unclench,4
undiagnosed,2
until sunrise,3
ursadom plush,2
vaneck intern,2
vape bag,5
vape pen,2
vase,3
velvet,3
venetian black,4
venetian gold,5
virgin,3
wagmi,3
walkman,2
wartime,4
watergun 1,3
watergun 2,4
weed,1
weed nug,2
wei dai,5
whippet cracker,4
whiskers,1
whistle,2
white anonymous,4
white mask,2
white thick,2
wicked,2
wide brim,3
wikipedia editor,3
william gibson jacket,4
wire cat ears,2
wolf head,5
workin like a dog,2
xanax,3
xiaoyun,2
yayo,2
yeet bucket,3
yeeted,3
yellow tassles,4
yiqun lisa yin,2
yohimbe bark,3
yohimbine,4
yuzu,3
yy,3
zeus,5
